day,truck,order,id,namePoint,lat,lon,volume
1,2,21,73,Colegio Compañía de María,-33.590090999999994,-70.579371,4.032
1,2,24,107,Escuela Industrial Las Nieves,-33.595227,-70.58171999999999,4.032
1,2,27,136,Colegio Obispo Alvear,-33.589901,-70.594217,4.032
1,2,30,99,Colegio Santa María de la Cordillera,-33.580284000000006,-70.588115,4.032
1,2,32,33,Conjunto Habitacional Barrio Holanda,-33.596956,-70.59741700000001,4.032
1,2,41,13,Escuela Gabriela,-33.57195,-70.599135,4.032
1,2,42,174,Escuela Nocturna Magdalena Montenegro,-33.623769,-70.589281,4.032
1,2,45,122,Escuela Padre Hurtado,-33.591894,-70.602372,4.032
1,2,46,186,Escuela Pedro Aguirre Cerda,-33.621169,-70.584017,10.8
1,2,47,78,Escuela Villa Independencia,-33.617684000000004,-70.589203,10.8
1,2,49,32,Fundación Protectora de la Infancia,-33.591249,-70.579904,10.8
1,2,57,57,Jardín infantiles de la Corporación Don Vicente,-33.569553000000006,-70.606774,1.08
1,2,63,48,Jardín infantiles de la Corporación La Palmerita ,-33.626979999999996,-70.58726,1.08
1,2,66,45,Jardín infantiles de la Corporación Los Canales,-33.590906,-70.606922,1.08
1,2,70,46,Jardín infantiles de la Corporación Pacifico Sur,-33.596246,-70.602689,1.08
1,2,71,110,Jardín infantiles de la Corporación Padre Hurtado,-33.593446,-70.602271,1.08
1,2,73,36,Jardín infantiles de la Corporación San Francisco Troncal,-33.571855,-70.609348,1.08
1,2,74,111,Jardín infantiles de la Corporación San Gerónimo,-33.628758000000005,-70.58641999999999,1.08
1,2,79,144,Jardín infantiles de la Corporación Sor Teresa,-33.589393,-70.601927,1.08
1,2,83,72,Liceo Bicentenario San Pedro,-33.626919,-70.577223,10.8
1,2,85,37,Liceo Comercial,-33.616605,-70.584041,10.8
1,2,105,137,Sede Social Mariano Latorre,-33.593754,-70.574798,25.95
1,2,140,116,Malla de Plástico Locales comerciales La Foresta,-33.586627,-70.58646800000001,4.5
1,2,254,120,Conjunto Habitacional  Condominio San Pedro,-33.585984,-70.583793,1.215
1,3,19,92,Centro Medico Vida Integra,-33.61329,-70.586936,4.032
1,3,20,108,Colegio Alemán Rudolf Deckwerth,-33.607576,-70.562213,4.032
1,3,25,161,Colegio Joaquina Vedruna,-33.60369,-70.573288,10.8
1,3,26,30,Colegio Merryland,-33.565191999999996,-70.567094,4.032
1,3,33,65,Conjunto Habitacional Barrio Ingles Jardines de las Vizcachas,-33.600713,-70.51615100000001,4.032
1,3,34,66,Conjunto Habitacional Condominio 3 Jardines Vizcacha,-33.600713,-70.51615100000001,4.032
1,3,35,67,Conjunto Habitacional Condominio 4 Jardines Vizcacha,-33.600713,-70.51615100000001,4.032
