truck,day,id,name,lat,lon,volume
1,1,36,Jardín infantiles de la Corporación San Francisco Troncal,-33.571855,-70.609348,1.080000
1,1,37,Liceo Comercial,-33.616605,-70.584041,10.800000
1,1,45,Jardín infantiles de la Corporación Los Canales,-33.590906,-70.606922,1.080000
1,1,46,Jardín infantiles de la Corporación Pacifico Sur,-33.596246,-70.602689,1.080000
1,1,48,Jardín infantiles de la Corporación La Palmerita ,-33.626980,-70.587260,1.080000
1,1,57,Jardín infantiles de la Corporación Don Vicente,-33.569553,-70.606774,1.080000
1,1,72,Liceo Bicentenario San Pedro,-33.626919,-70.577223,10.800000
1,1,73,Colegio Compañía de María,-33.590091,-70.579371,4.032000
1,1,78,Escuela Villa Independencia,-33.617684,-70.589203,10.800000
1,1,99,Colegio Santa María de la Cordillera,-33.580284,-70.588115,4.032000
1,1,107,Escuela Industrial Las Nieves,-33.595227,-70.581720,4.032000
1,1,110,Jardín infantiles de la Corporación Padre Hurtado,-33.593446,-70.602271,1.080000
1,1,111,Jardín infantiles de la Corporación San Gerónimo,-33.628758,-70.586420,1.080000
1,1,116,Malla de Plástico Locales comerciales La Foresta,-33.586627,-70.586468,4.500000
1,1,120,Conjunto Habitacional  Condominio San Pedro,-33.585984,-70.583793,1.215000
1,1,122,Escuela Padre Hurtado,-33.591894,-70.602372,4.032000
1,1,123,Conjunto Habitacional Micro Barrio,-33.585349,-70.608468,1.215000
1,1,136,Colegio Obispo Alvear,-33.589901,-70.594217,4.032000
1,1,137,Sede Social Mariano Latorre,-33.593754,-70.574798,25.950000
1,1,144,Jardín infantiles de la Corporación Sor Teresa,-33.589393,-70.601927,1.080000
1,1,174,Escuela Nocturna Magdalena Montenegro,-33.623769,-70.589281,4.032000
1,1,186,Escuela Pedro Aguirre Cerda,-33.621169,-70.584017,10.800000
1,2,14,Escuela Ejercito Libertador,-33.608958,-70.591758,10.800000
1,2,21,Malla de Plástico Fuera Del Líder,-33.594169,-70.559094,9.420000
1,2,38,Sede Social Villa Las Caletas 3,-33.596381,-70.563908,10.407000
1,2,74,Duoc Uc,-33.598372,-70.578556,10.800000
1,2,75,Edificio Consistorial,-33.595374,-70.579321,4.032000
1,2,89,Centro De Salud Laurita Vicuña,-33.590997,-70.595345,10.800000
1,2,137,Sede Social Mariano Latorre,-33.593754,-70.574798,25.950000
1,2,182,Escuela Republica De Grecia,-33.605690,-70.584327,10.800000
1,3,0,Complejo Educacional Consolidada 4,-33.595485,-70.569705,4.032000
1,3,2,Conjunto Habitacional Condominio Portal del Parque,-33.589211,-70.576695,4.032000
1,3,10,Hospital Sotero Del Río,-33.577030,-70.581267,4.032000
1,3,12,Conjunto Habitacional  Condominio Los Libertadores Portón Azul,-33.577627,-70.598152,4.032000
1,3,33,Conjunto Habitacional Barrio Holanda,-33.596956,-70.597417,4.032000
1,3,53,Jardín infantiles de la Corporación Los Nogales,-33.585203,-70.603056,1.080000
1,3,71,Centro De Salud Laurita Vicuña,-33.584440,-70.583630,4.032000
1,3,76,Conjunto Habitacional Edificio Altum,-33.583622,-70.581461,4.032000
1,3,77,Testigos de Jehová Casa Betel,-33.577588,-70.582863,10.800000
1,3,79,Centro Cultural Juan Estay ,-33.595441,-70.571159,4.032000
1,3,102,Dimao,-33.580999,-70.578843,4.032000
1,3,126,Edificio Consistorial,-33.586192,-70.600854,4.032000
1,3,137,Sede Social Mariano Latorre,-33.593754,-70.574798,25.950000
1,3,143,Escuela Los Andes,-33.571569,-70.575085,4.032000
1,3,153,Parque San Francisco,-33.580554,-70.602863,4.032000
1,3,187,Cancha Millancura,-33.578003,-70.595541,4.032000
1,4,14,Escuela Ejercito Libertador,-33.608958,-70.591758,10.800000
1,4,21,Malla de Plástico Fuera Del Líder,-33.594169,-70.559094,9.420000
1,4,38,Sede Social Villa Las Caletas 3,-33.596381,-70.563908,10.407000
1,4,74,Duoc Uc,-33.598372,-70.578556,10.800000
1,4,75,Edificio Consistorial,-33.595374,-70.579321,4.032000
1,4,89,Centro De Salud Laurita Vicuña,-33.590997,-70.595345,10.800000
1,4,137,Sede Social Mariano Latorre,-33.593754,-70.574798,25.950000
1,4,182,Escuela Republica De Grecia,-33.605690,-70.584327,10.800000
2,0,28,Conjunto Habitacional Monteverde ,-33.590885,-70.561112,10.800000
2,0,42,Escuela Casas Viejas,-33.607861,-70.527158,4.032000
2,0,119,Consultorio Padre Manuel Villa Seca ,-33.586231,-70.586642,4.032000
